visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
103170,17.92,2,1,2,1,Cat24,none,www.site1.com
103171,29.5,1,1,3,2,Cat13,Type3,www.site2.com
103172,54.0,2,2,4,2,Cat30,none,www.site1.com
103173,57.79,5,4,6,2,Cat21,none,www.site1.com
103174,119.78,4,4,6,2,Cat19,Type2,www.site4.com
103175,115.28,6,6,8,2,Cat4,Type5,www.site2.com
103176,53.15,5,5,8,3,none,none,www.site1.com
103177,342.84,3,3,4,1,Cat24,none,www.site1.com
103178,67.64,1,1,2,1,Cat21,none,www.site1.com
103179,304.78,18,8,10,2,Cat23,none,www.site1.com
103180,54.87,1,1,2,1,none,none,www.site1.com
103181,328.7,74,4,6,2,Cat36,Type12,www.site7.com
103182,239.08,20,16,18,2,Cat24,none,www.site1.com
103183,63.96,5,5,6,1,Cat4,Type1,www.site3.com
103184,58.82,8,8,9,1,Cat4,Type1,www.site3.com
103185,456.64,29,16,18,2,none,none,www.site1.com
